CODBEN,DESCRIPCION,PORCMAX,MONTOMAX,TIPO,USUARIO,FECMOD,APLICONCEPTO,APLICAL,PRIORIDAD,ORIGEN_BENEFICIO,Vigencia
897,Becas Hijos (as) Egresados de UNIACC,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
898,Becas Hijos (as) y cónyuge de Funcionarios,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
899,Becas Hijos (as) y cónyuge de Docentes,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
900,Becas Egresados de IACC - UNIACC,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
901,Convenio Institucional,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
902,Pago al Contado (No renovable),100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
903,Pago con Cheques (No renovable),100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
904,Pago Anticipado (5% No renovable),100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
905,Pago Anticipado(10%No renovable-Noviembre-Sólo Nue,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
906,Renovación de Beca,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
907,Fondo de Beca UNIACC,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
908,Furia Audiovisual,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
909,Festival de Teatro Escolar,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
910,Beca Rojo,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
911,Beca Funcionario UNIACC,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
912,Plan Hijo  o Pariente de Alumno Proyecto XXI,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
913,Beca Docente UNIACC - IACC,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
914,IP - 227 Cheque-Cuponera Oct. (5%),100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
915,IP - 227 Carr. Quorum Cup. (5%,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
916,IP -901 Caja los Andes (20%),100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
918,IP -903 IST y empresas asociadas (20%),100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1151,IP- 211 NEM (TR.1)15%,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1152,IP- 212 NEM (TR.2)20%,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1153,IP- 213 NEM (TR.3)25%,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1154,IP- 214 NEM (TR.4)30%,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1155,IP - 215 B. G. Fam (20%),100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1156,IP - 216 BSU ( D.3) 30%,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1157,IP - 217 BSU ( D.4-5) 25%,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1332,U602-Convenio - Caja de Compensación Los Andes (No renovable,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1333,IP - 201 ZONA EXTREMA (25%) 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1334,IP- 103  BECA FUNCIONARIO (SINDICATO) 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1335,IP - 104 BECA ESPECIAL DIPLOMADO. 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1336,IP - 105 BECA ESPECIAL VICERRECTORIA ADM. Y COM. 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1337,"IP - 106 REINCORPORACION (30%) 2018
IP - 107 BECA CUPONERA ",100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1338,IP - 107 BECA CUPONERA  (DIPLOMADO) 35% JUNIO 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1339,IP - 108 BECA CHEQUE (DIPLOMADO) 45% JUNIO 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1340,IP- 109 BECA CONTADO (DIPLOMADO) 50% JUNIO 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1341,IP -202 EGRESADOS IACC-UNIACC (30%) 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1342,IP- 203 ALUMNO NUEVO (20%) 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1343,IP- 204 BES (5%) 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1344,IP- 205 CHEQUE (10%) 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1345,IP -206 CONTADO (15%) 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1346,IP - 207 CHEQUE (5%) 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1347,IP - 208 CONTADO (10%) 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1348,IP - 209 DIPLOMADO. CHEQUE (50%) 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1349,IP - 210 DIPLOMADO. CUPONERA (40%) 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1356,IP - 211 NEM (TR.1)15% 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1357,IP - 212 NEM (TR.2)20% 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1358,IP- 213 NEM (TR.3)25% 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1359,IP- 214 NEM (TR.4)30% 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1360,IP - 215 B. G. FAM (20%) 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1361,IP - 216 BSU ( D.3) 30% 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1362,IP - 217 BSU ( D.4-5) 25% 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1363,IP - 218 BSU ( D.6) 20% 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1364,IP - 219 BSU ( D.7) 15% 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1365,IP - 220 BTF 0-6 (1) 5% 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1366,IP - 221 BTF 0-6 (2 +) 10% 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1367,IP - 222 BTF 7-12 (0) 5% 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1368,IP - 223 BTF 7-12 (1) 10% 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1369,IP - 224 BTF 7-12 (2+) 15% 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1370,IP - 225 BTF 13-24 (0) 10% 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1371,IP - 226 BTF 13-24 (1) 15% 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1372,IP - 227 BTF 13-24 (2+) 20% 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1373,IP - 228 BTF 24 + (0) 15% 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1374,IP - 229 BTF 24 + (1) 20% 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1375,IP - 229 BTF 24 + (2+) 25% 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1376,IP - 230 BVSS  (20%) 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1377,IP - 231 BDP(15%) 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1378,IP - 232 BFE  (20%) 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1379,IP - 233 BFTP ENERO  (20%) 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1380,IP- 234 SERVICIO PÚBLICO DIPLOMADO.  (30%) 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1381,IP -235 CONTADO-CHEQUE DIPLOMADO (40%) 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1382,IP - 236 CONTADO DIPLOMADO. (45%) 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1383,IP - 237 CHEQUE DIPLOMADO. (40%) 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1384,IP - 238 1º CUOTA PAGADA.  DIPLOMADO (40%) 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1385,IP - 239 CUPONERA  DIPLOMADO (30%) 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1386,IP - 240 EXALUMNOS DIPLOMADO. (50%) 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1387,IP- 241 BENEFICIO FIRMA CONVENIO FACH  FUNCIONARIOS (DIPLOMA,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1388,IP- 242 BENEFICIO CONVENIO  FDR SANTANDER   FUNCIONARIOS (DI,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1389,IP- 243 BENEFICIO CONVENIO  CAJA GABRIELA MISTRAL   FUNCIONA,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1390,IP- 244 BENEFICIO CONVENIO  EDU GLOBAL  FUNCIONARIOS (DIPLOM,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1391,IP- 901 CAJA LOS ANDES  (20%) 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1392,IP - 902 IZIT (25%) 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1393,IP - 903 BANCO ESTADO (20%) 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1394,IP- 904  CAJA LOS HÉROES (25%) 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1395,IP- 905  CAJA LOS ANDES DIPLOMADO. (30%) 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1396,IP- 906  CAJA LOS HÉROES DIPLOMADO. (40%) 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1397,IP- 907  BANCO ESTADO DIPLOMADO. (30%) 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1398,IP- 908 IST DIPLOMADO. (30%) 2018,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1615,IP-964 BECA ESPECIAL CONVENIO CAJA LOS HEROES ( pregrado ) 2,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1616,IP-965 BECA ESPECIAL CONVENIO COLEGIOS ( diplomado ) 2018 35,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1617,IP-966 BECA ESPECIAL CONVENIO COLEGIOS ( pregrado ) 2018 25%,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1618,IP-967 BECA ESPECIAL CONVENIO FACH ( diplomado ) 2018 35%,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1619,IP-968 BECA ESPECIAL CONVENIO FACH ( pregrado ) 2018 25%,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1620,IP-969 BECA ESPECIAL CONVENIO IST ( diplomado ) 2018 35%,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1621,IP-970 BECA ESPECIAL CONVENIO IST ( pregrado ) 2018 25%,100.00000,,BECA,1,2020-12-10 12:27:13.543,M,SALDO,3,INTERNO,NO
1760,MC ASIGNATURAS EN UN SEMESTRE,50.00000,,BECA,8768,2022-01-13 11:22:00.000,A,TOTAL,1,INTERNO,SI
1761,ADTRES,20.00000,,BECA,9414,2021-10-14 17:39:00.000,A,SALDO,2,INTERNO,SI
1762,ALOG,30.00000,,BECA,8938,2021-11-23 19:13:00.000,A,SALDO,2,INTERNO,NO
1763,AJUNJI V REGION,30.00000,,BECA,9414,2021-10-14 17:50:00.000,A,SALDO,2,INTERNO,SI
1764,AMUCH Asociacion de Municipalidades de Chile,30.00000,,BECA,7872,2024-01-11 12:15:00.000,A,SALDO,2,INTERNO,SI
1765,ANFUSEN Asociacion de Funcionarios SENCE,30.00000,,BECA,9414,2021-10-14 18:01:00.000,A,SALDO,2,INTERNO,SI
1766,ASOCIACION DE PILOTOS DE CHILE,30.00000,,BECA,9414,2021-10-14 18:06:00.000,A,SALDO,2,INTERNO,SI
1767,ATENTO CHILE,30.00000,,BECA,9414,2021-10-14 18:07:00.000,A,SALDO,2,INTERNO,SI
1768,CENTRO DEL DOLOR CHILE SPA,10.00000,,BECA,9414,2021-10-14 18:08:00.000,A,SALDO,2,INTERNO,SI
1769,COLEGIO DE RELACIONADORES PUBLICOS,30.00000,,BECA,8938,2022-04-29 12:22:00.000,A,SALDO,2,INTERNO,NO
1770,COLEGIO DE ARQUITECTOS DE CHILE AG,30.00000,,BECA,9414,2021-10-14 18:10:00.000,A,SALDO,2,INTERNO,SI
1771,CUPONSTAR,30.00000,,BECA,8938,2021-12-16 16:37:00.000,A,SALDO,2,INTERNO,SI
1772,DIRECCION DE BIENESTAR SOCIAL DE LA ARMADA DE CHILE,30.00000,,BECA,8938,2021-11-26 18:26:00.000,A,SALDO,2,INTERNO,NO
1773,ENAC Centro de Formacion Tecnica,30.00000,,BECA,8938,2022-10-26 15:22:00.000,A,SALDO,2,INTERNO,SI
1774,ESCUELA DE GENDARMERIA,30.00000,,BECA,8938,2021-11-23 18:55:00.000,A,SALDO,2,INTERNO,NO
1775,INJUV,30.00000,,BECA,8768,2022-11-07 12:41:00.000,A,SALDO,2,INTERNO,SI
1776,IPCHILE Instituto Profesional de Chile,30.00000,,BECA,9414,2021-10-14 18:19:00.000,A,SALDO,2,INTERNO,SI
1777,IPP Instituto Profesional Providencia,30.00000,,BECA,8938,2021-11-22 17:54:00.000,A,SALDO,2,INTERNO,SI
1778,LAUNCHCOWORKING,25.00000,,BECA,8938,2022-04-29 12:21:00.000,A,SALDO,2,INTERNO,NO
1779,METLIFE Seguros de Vida SA y Asociados,25.00000,,BECA,9414,2021-10-14 18:23:00.000,A,SALDO,2,INTERNO,SI
1780,MUNICIPALIDAD DE ALHUE,25.00000,,BECA,9414,2021-10-14 18:24:00.000,A,SALDO,2,INTERNO,SI
1781,PDI Escuela de Investigaciones,25.00000,,BECA,7872,2024-12-27 11:28:00.000,A,SALDO,2,INTERNO,SI
1782,MUNICIPALIDAD DE PROVIDENCIA,30.00000,,BECA,8938,2021-11-23 09:40:00.000,A,SALDO,2,INTERNO,SI
1783,PRACTICA GLOBAL,20.00000,,BECA,9414,2021-10-14 18:28:00.000,A,SALDO,2,INTERNO,SI
1784,SCD,25.00000,,BECA,9414,2021-10-14 18:30:00.000,A,SALDO,2,INTERNO,SI
1785,SIDARTE,30.00000,,BECA,9414,2021-10-14 18:31:00.000,A,SALDO,2,INTERNO,SI
1786,SIP RED DE COLEGIOS,25.00000,,BECA,9414,2021-10-14 18:32:00.000,A,SALDO,2,INTERNO,SI
1787,SISE,20.00000,,BECA,9414,2021-10-14 18:33:00.000,A,SALDO,2,INTERNO,SI
1788,SMU UNIMARC,25.00000,,BECA,8938,2022-04-29 12:20:00.000,A,SALDO,2,INTERNO,NO
1789,SNPC Servicio Nacional del Patrimonio Cultural,30.00000,,BECA,9414,2021-10-14 18:36:00.000,A,SALDO,2,INTERNO,SI
1790,DESCUENTO ANTICIPACION COLEGIATURA NUEVO,6.00000,,BECA,8938,2022-03-24 15:56:00.000,A,TOTAL,1,INTERNO,NO
1791,DESCUENTO ANTICIPACION MATRICULA NUEVO,100.00000,,BECA,8768,2022-03-14 10:53:00.000,M,TOTAL,2,INTERNO,SI
1792,Descuento Pago Cheque al Dia,5.00000,,FINANCIERO,8768,2022-02-03 13:33:00.000,A,SALDO,6,INTERNO,SI
1793,Descuento Deposito Bancario,5.00000,,FINANCIERO,8768,2022-01-13 13:06:00.000,A,SALDO,6,INTERNO,SI
1794,DESCUENTO 5 MNP ARANCEL,5.00000,,FINANCIERO,8768,2021-11-16 16:02:00.000,A,SALDO,6,INTERNO,SI
1795,Beca Talento Virtual,70.00000,,BECA,7872,2023-01-06 15:02:00.000,A,SALDO,2,INTERNO,SI
1796,Beca Docente UNIACC Nuevos,30.00000,,BECA,8938,2021-11-15 16:20:00.000,A,SALDO,2,INTERNO,SI
1797,Beca Migrante Arancel,,4000000.00,BECA,31725,2022-04-19 15:56:00.000,A,TOTAL,2,INTERNO,SI
1798,Descuento 3 pago cheque,3.00000,,FINANCIERO,7872,2025-08-26 10:19:00.000,A,SALDO,6,INTERNO,SI
1799,Descuento No Renovable Ajuste Simulador Nuevos,,250000.00,BECA,9525,2023-07-31 18:18:00.000,A,SALDO,3,INTERNO,SI
1800,KAREN CONNOLLY,25.00000,,BECA,8768,2021-12-23 14:19:00.000,A,SALDO,2,INTERNO,SI
1801,DESCUENTO PAGO CHEQUE MNP,3.00000,,BECA,7872,2024-07-22 18:25:00.000,A,SALDO,6,INTERNO,SI
1802,RIPLEY,25.00000,,BECA,8938,2021-11-23 19:09:00.000,A,SALDO,2,INTERNO,SI
1803,MUNICIPALIDAD DE PAINE,20.00000,,BECA,8938,2021-11-23 19:10:00.000,A,SALDO,2,INTERNO,SI
1804,GRUPO XTASIS,15.00000,,BECA,8938,2021-11-23 19:11:00.000,A,SALDO,2,INTERNO,SI
1805,CAMARA MUJER Y NEGOCIOS,20.00000,,BECA,8938,2021-11-23 19:12:00.000,A,SALDO,2,INTERNO,SI
1806,Descuento Arancel Matricula TLU,100.00000,,BECA,8768,2022-02-17 18:34:00.000,M,TOTAL,2,INTERNO,SI
1807,Ajuste Plan de Pago Antiguos,10.00000,,BECA,7872,2025-03-26 18:23:00.000,A,SALDO,6,INTERNO,SI
1808,Abono Resolucion Financiera,,3500000.00,BECA,7872,2023-03-15 09:00:00.000,A,TOTAL,1,INTERNO,SI
1809,Beca Talento Virtual 2,50.00000,,BECA,7872,2023-02-27 16:11:00.000,A,SALDO,2,INTERNO,SI
1810,Ajuste de Aranceles Antiguos,,350000.00,BECA,7872,2025-03-26 18:20:00.000,A,TOTAL,1,INTERNO,SI
1811,Beneficio  Apoyo UNIACC No Renovable,50.00000,,BECA,7872,2024-05-30 15:07:00.000,A,SALDO,3,INTERNO,SI
